I	17959	18005	2	2	0	1	0	17
I	53696	53943	1	1	0	1	0	16
I	94930	94975	2	4	0	1	0	15
I	109447	109491	2	2	0	1	0	17
I	111066	111160	1	1	0	1	0	17
I	111708	111754	1	1	0	2	0	14
I	380922	380970	2	2	0	1	0	16
I	508758	508804	1	1	0	1	0	12
I	511754	512480	2	2	0	1	0	12
I	619188	619246	1	1	0	0	1	12
I	1156890	1156970	1	1	0	1	0	15
I	1196093	1198543	1	1	0	1	0	16
I	1340769	1340824	1	1	0	1	0	13
I	1399348	1402091	1	1	0	1	0	16
I	1464472	1465071	1	1	0	1	0	16
I	1752938	1753998	1	1	0	1	0	14
I	1835045	1835091	1	1	0	1	0	12
I	1835230	1835277	1	1	0	3	0	17
I	2069838	2070051	2	2	0	2	0	17
I	2070208	2070439	2	2	0	1	0	16
I	2073967	2074706	1	1	0	1	0	16
I	2084417	2084478	1	1	0	1	0	18
I	2111617	2123170	1	1	0	1	0	18
I	2234403	2234687	2	2	0	1	0	13
I	2286339	2287562	2	2	0	1	0	14
I	2434553	2434604	1	1	0	1	0	15
I	2434852	2434892	1	1	0	1	0	13
I	2617606	2617654	1	1	0	1	0	13
I	2668260	2668407	1	1	0	1	0	18
I	2701682	2701729	1	1	0	0	3	18
I	2759971	2760325	2	2	0	1	0	14
I	2784763	2784813	2	2	0	0	4	17
I	2787369	2787416	1	1	0	0	4	17
I	2805723	2805799	1	1	0	1	0	15
I	2821107	2821881	2	2	0	1	0	16
I	2854141	2854190	2	2	0	1	0	15
I	2854404	2854451	2	2	0	0	3	18
I	2875602	2875649	2	2	0	2	0	17
I	2895840	2895901	2	2	0	1	0	13
I	2915936	2915982	1	1	0	1	0	12
I	2988665	2988707	2	2	0	1	0	17
I	3023394	3024864	1	1	0	1	0	15
I	3166331	3167220	1	1	0	1	0	17
I	3184596	3185596	2	2	0	1	0	18
I	3254448	3255415	1	1	0	1	0	13
I	3262447	3262555	1	1	0	1	0	12
I	3289052	3289831	1	1	0	1	0	14
I	3294034	3294252	2	2	0	1	0	16
I	3435590	3435639	2	2	0	1	0	16
I	3437523	3437579	2	2	0	2	0	13
I	3439695	3439745	2	2	0	1	0	12
I	3788419	3788468	1	1	0	2	0	15
I	3788556	3788658	1	1	0	6	0	15
I	3809593	3809638	2	2	0	1	0	12
I	3886231	3886942	2	2	0	1	0	18
I	3934189	3934258	1	1	0	0	1	14
